2022-10-25 11:24:17,072, INFO, trainLogger, Train Loss, 0.011,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 11:32:01,398, INFO, trainLogger, Train Loss, 0.013,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 11:39:15,022, INFO, trainLogger, Train Loss, 0.010,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 11:45:46,864, INFO, trainLogger, Train Loss, 0.014,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 11:52:14,815, INFO, trainLogger, Train Loss, 0.017,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 11:58:41,570, INFO, trainLogger, Train Loss, 0.011,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 12:36:24,568, INFO, trainLogger, Train Loss, 0.014,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 12:43:18,214, INFO, trainLogger, Train Loss, 0.012,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 12:50:14,543, INFO, trainLogger, Train Loss, 0.013,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 12:57:04,784, INFO, trainLogger, Train Loss, 0.013,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 13:33:12,104, INFO, trainLogger, Train Loss, 0.030,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 13:39:41,014, INFO, trainLogger, Train Loss, 0.024,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 13:46:06,496, INFO, trainLogger, Train Loss, 0.003,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 13:52:44,290, INFO, trainLogger, Train Loss, 0.005,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 14:00:21,894, INFO, trainLogger, Train Loss, 0.007,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 14:06:53,462, INFO, trainLogger, Train Loss, 0.004,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 14:13:02,676, INFO, trainLogger, Train Loss, 0.007,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 14:19:06,132, INFO, trainLogger, Train Loss, 0.006,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 14:25:35,852, INFO, trainLogger, Train Loss, 0.014,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 14:32:21,322, INFO, trainLogger, Train Loss, 0.050,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 15:02:19,964, INFO, trainLogger, Train Loss, 0.015,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 15:08:28,608, INFO, trainLogger, Train Loss, 0.629,  Avg Loss, 0.004, Accuracy, 1.000
2022-10-25 15:15:15,218, INFO, trainLogger, Train Loss, 1.403,  Avg Loss, 0.010, Accuracy, 1.000
2022-10-25 15:21:59,510, INFO, trainLogger, Train Loss, 0.023,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 15:28:25,721, INFO, trainLogger, Train Loss, 0.018,  Avg Loss, 0.000, Accuracy, 1.000
2022-10-25 15:34:43,679, INFO, trainLogger, Train Loss, 0.072,  Avg Loss, 0.001, Accuracy, 1.000
2022-10-25 15:41:41,116, INFO, trainLogger, Train Loss, 0.268,  Avg Loss, 0.002, Accuracy, 1.000
