2022-10-25 11:24:21,278, INFO, ProfileLogger, Model:SCNN_A, AddInfo: scriptRun
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 1.616M                 | 0.374G   |
|  conv1         |  60                    |  7.776M  |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |  0.108G  |
|   conv2.weight |   (16, 6, 3, 3)        |          |
|   conv2.bias   |   (16,)                |          |
|  fc1           |  1.606M                |  0.257G  |
|   fc1.weight   |   (128, 12544)         |          |
|   fc1.bias     |   (128,)               |          |
|  fc2           |  8.256K                |  1.311M  |
|   fc2.weight   |   (64, 128)            |          |
|   fc2.bias     |   (64,)                |          |
|  fc3           |  0.65K                 |  0.102M  |
|   fc3.weight   |   (10, 64)             |          |
|   fc3.bias     |   (10,)                |          |
2022-10-25 11:32:03,892, INFO, ProfileLogger, Model:SCNN_A, AddInfo: scriptRun
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 1.616M                 | 0.374G   |
|  conv1         |  60                    |  7.776M  |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |  0.108G  |
|   conv2.weight |   (16, 6, 3, 3)        |          |
|   conv2.bias   |   (16,)                |          |
|  fc1           |  1.606M                |  0.257G  |
|   fc1.weight   |   (128, 12544)         |          |
|   fc1.bias     |   (128,)               |          |
|  fc2           |  8.256K                |  1.311M  |
|   fc2.weight   |   (64, 128)            |          |
|   fc2.bias     |   (64,)                |          |
|  fc3           |  0.65K                 |  0.102M  |
|   fc3.weight   |   (10, 64)             |          |
|   fc3.bias     |   (10,)                |          |
2022-10-25 11:39:17,335, INFO, ProfileLogger, Model:SCNN_A, AddInfo: scriptRun
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 1.616M                 | 0.374G   |
|  conv1         |  60                    |  7.776M  |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |  0.108G  |
|   conv2.weight |   (16, 6, 3, 3)        |          |
|   conv2.bias   |   (16,)                |          |
|  fc1           |  1.606M                |  0.257G  |
|   fc1.weight   |   (128, 12544)         |          |
